chrom,TSS,TES,symbol,log2FoldChange,peak_chrom,start,end,peak_id,peak_count,strand,number_of_overlaps,id,TKO_mean_exp
chr2,27008426,27011425,Cacfd1,0.29907670032626166,.,-1,-1,.,-1,.,0,ENSMUSG00000015488,10.26235562886107
chr2,27506163,27509162,Brd3,0.12550796941959177,chr2,27503201,27507799,peak_6628,28.534477096763464,.,1636,ENSMUSG00000026918,11.116713198312812
chr2,27513657,27516656,Wdr5,-0.3414157494262025,.,-1,-1,.,-1,.,0,ENSMUSG00000026917,14.749530879488843
chr2,28466566,28469565,Mrps2,-0.08247952426299278,chr2,28468601,28469599,peak_6636,2.004527636225829,.,964,ENSMUSG00000035772,14.077886631675247
chr2,29801134,29804133,Slc27a4,0.0717834823269812,.,-1,-1,.,-1,.,0,ENSMUSG00000059316,10.65897487253985
chr2,30284835,30287834,Dolk,0.08030218923184546,.,-1,-1,.,-1,.,0,ENSMUSG00000075419,10.828408292894679
chr2,30357838,30360837,Sh3glb2,0.19600379196441445,chr2,30347801,30358199,peak_6654,17.857891757377374,.,361,ENSMUSG00000026860,13.294261398038554
chr2,30414314,30417313,Crat,0.06996319525730697,.,-1,-1,.,-1,.,0,ENSMUSG00000026853,11.730138412948897
chr2,30806326,30809325,Ntmt1,-0.1123523759324258,chr2,30676801,30811799,peak_6661,805.1550182800556,.,2999,ENSMUSG00000026857,14.276032959204823
chr2,30951459,30954458,Tor1b,-0.08489610572810746,chr2,30829801,30952799,peak_6662,372.07736933514667,.,1340,ENSMUSG00000026848,10.134572309832448
chr2,31244323,31247322,Ncs1,-0.1898977218388583,.,-1,-1,.,-1,.,0,ENSMUSG00000062661,14.916103256168666
chr2,31571151,31574150,Fubp3,0.05471731941510805,chr2,31571401,31572599,peak_6670,5.827228404634297,.,1198,ENSMUSG00000026843,14.955541456572641
chr2,31669215,31672214,Exosc2,-0.5262172348722717,.,-1,-1,.,-1,.,0,ENSMUSG00000039356,12.02912752911372
chr2,32380439,32383438,1110008P14Rik,-0.07398403120937684,chr2,32379401,32380999,peak_6680,1.961219759851218,.,560,ENSMUSG00000039195,12.302608758350168
chr2,32569358,32572357,Dpm2,-0.27056606837877073,.,-1,-1,.,-1,.,0,ENSMUSG00000026810,12.044464175277486
chr2,32598209,32601208,St6galnac6,-0.19171126523514836,chr2,32584401,32635399,peak_6682,216.08979975835098,.,2999,ENSMUSG00000026811,11.189425056644314
chr2,34405271,34408270,Mapkap1,0.1215510140469967,.,-1,-1,.,-1,.,0,ENSMUSG00000038696,12.078160259109131
chr2,35461732,35464731,Ggta1,-1.4891926215366658,.,-1,-1,.,-1,.,0,ENSMUSG00000035778,14.950780876547725
chr2,39003848,39006847,Arpc5l,0.06837040020813719,chr2,38971601,39006999,peak_6722,55.262107443994324,.,2999,ENSMUSG00000026755,10.48532784885287
chr2,51147612,51150611,Rnd3,0.17425260416568236,chr2,51137401,51155999,peak_6760,34.30150097813846,.,2999,ENSMUSG00000017144,12.22877333072661
chr2,52856360,52859359,Fmnl2,-0.0763101785837541,chr2,52855801,53082799,peak_6773,632.3882543087581,.,2999,ENSMUSG00000036053,11.681750642583575
chr2,57236135,57239134,Gpd2,0.6303138317037833,chr2,57224401,57262799,peak_6777,50.69081118587673,.,2999,ENSMUSG00000026827,11.033939190340403
chr2,59610542,59613541,Tanc1,0.2057537559908439,chr2,59581001,59722799,peak_6792,496.0050975114456,.,2999,ENSMUSG00000035168,13.829557044366318
chr2,71210206,71213205,Dync1i2,-0.001955760954917801,chr2,71208801,71211199,peak_6840,5.545154051597346,.,993,ENSMUSG00000027012,10.750354964481632
chr2,71387458,71390457,Hat1,-0.7030516014677074,chr2,71387601,71388599,peak_6844,1.1228402673810982,.,998,ENSMUSG00000027018,10.323399899560526
chr2,72978947,72981946,Sp3,-0.0017971160866816754,chr2,72981001,73053399,peak_6866,357.87361971928885,.,945,ENSMUSG00000027109,14.704198856158607
chr2,73217425,73220424,Ola1,-0.3031980751689439,.,-1,-1,.,-1,.,0,ENSMUSG00000027108,12.682647855239672
chr2,73528235,73531234,Wipf1,-1.9332885142643752,chr2,73466801,73535599,peak_6869,125.22785030822868,.,2999,ENSMUSG00000075284,12.397689123106533
chr2,84677641,84680640,Tmx2,0.388688051047901,.,-1,-1,.,-1,.,0,ENSMUSG00000050043,11.067826010422737
chr2,84676902,84679901,Med19,-0.1906227161464069,.,-1,-1,.,-1,.,0,ENSMUSG00000027080,11.968600475419398
chr2,84825497,84828496,Timm10,-0.24240539482080703,.,-1,-1,.,-1,.,0,ENSMUSG00000027076,11.128456304679851
chr2,90845655,90848654,Mtch2,-0.043997604706191164,chr2,90845801,90846799,peak_6931,1.3306056439433676,.,998,ENSMUSG00000027282,10.885787893339629
chr2,90903328,90906327,Ndufs3,0.25131555478909495,.,-1,-1,.,-1,.,0,ENSMUSG00000005510,11.581190551705232
chr2,91068918,91071917,Slc39a13,-0.17345576609298877,chr2,91055201,91084199,peak_6933,63.81590653321506,.,2999,ENSMUSG00000002105,14.51938452674378
chr2,91254454,91257453,Pacsin3,0.3762158244909204,chr2,91247401,91264799,peak_6937,12.00587145969472,.,2999,ENSMUSG00000027257,14.608207440394336
chr2,91974365,91977364,Dgkz,-0.28554254313405514,.,-1,-1,.,-1,.,0,ENSMUSG00000040479,10.058907531193677
chr2,92373176,92376175,Pex16,0.37870676049528307,chr2,92373401,92374799,peak_6945,4.235915374864023,.,1398,ENSMUSG00000027222,12.260477962968688
chr2,93044668,93047667,Prdm11,-1.2087888136915368,chr2,92883401,93065599,peak_6953,2514.141511653058,.,2999,ENSMUSG00000075028,10.724467765224205
chr2,101884747,101887746,Commd9,0.18625219587665068,chr2,101885201,101885999,peak_6975,3.9516391798469,.,798,ENSMUSG00000027163,10.761170088361263
chr2,103072175,103075174,Apip,0.0077182589669775184,.,-1,-1,.,-1,.,0,ENSMUSG00000010911,13.07738353359643
chr2,104492947,104495946,Hipk3,0.3009191309533703,chr2,104494801,104496599,peak_6987,6.158651267994519,.,1145,ENSMUSG00000027177,12.60755870672665
chr2,109889353,109892352,Lin7c,0.10186900061893071,.,-1,-1,.,-1,.,0,ENSMUSG00000027162,10.17039199770543
chr2,113847162,113850161,Arhgap11a,-1.2170233878294945,chr2,113849201,113850199,peak_7032,1.744713333120269,.,960,ENSMUSG00000041219,14.19294174122548
chr2,117119874,117122873,Spred1,-0.3652600355831428,chr2,117118801,117120199,peak_7050,8.409440556028965,.,325,ENSMUSG00000027351,10.305241987025825
chr2,118761162,118764161,Ccdc9b,0.7049422435603918,chr2,118745001,118767399,peak_7068,54.34395960677647,.,2999,ENSMUSG00000045838,10.388305014364525
chr2,119287240,119290239,Vps18,0.4147664812610993,.,-1,-1,.,-1,.,0,ENSMUSG00000034216,11.728691298260712
chr2,122367663,122370662,Shf,-0.14956869357944225,chr2,122349001,122367999,peak_7095,36.61605954204996,.,336,ENSMUSG00000033256,11.414217253922235
chr2,122737003,122740002,Bloc1s6,-0.16161778372008118,chr2,122689801,122749199,peak_7098,421.1219222723663,.,2999,ENSMUSG00000005804,10.816484985487403
chr2,125122162,125125161,Myef2,-0.4153237837990068,.,-1,-1,.,-1,.,0,ENSMUSG00000027201,10.546429415104573
chr2,125781371,125784370,Secisbp2l,-0.03264984808700174,chr2,125783401,125794799,peak_7109,57.15633379397419,.,969,ENSMUSG00000035093,13.310637438855947
chr2,127132455,127135454,Ncaph,-1.4800354619364875,.,-1,-1,.,-1,.,0,ENSMUSG00000034906,10.76614742242266
chr2,127268718,127271717,Stard7,-0.08524504003290162,.,-1,-1,.,-1,.,0,ENSMUSG00000027367,12.296299087414093
chr2,127334659,127337658,Dusp2,-0.13224576903997698,chr2,127322001,127338199,peak_7121,103.96830677426247,.,2999,ENSMUSG00000027368,10.395313831268352
chr2,127787398,127790397,Nphp1,-0.328355965528187,chr2,127789001,127790799,peak_7124,2.2485581594408814,.,1396,ENSMUSG00000027378,12.787012730216079
chr2,127790989,127793988,Mtln,-0.2839814190582528,.,-1,-1,.,-1,.,0,NA,NA
chr2,128685892,128688891,Anapc1,-0.14536825209290619,chr2,128685201,128718799,peak_7132,98.78802353767455,.,2999,ENSMUSG00000014355,14.084737805028023
chr2,129295713,129298712,Ckap2l,-1.8421625449667278,chr2,129294601,129298799,peak_7140,4.825674111305088,.,2999,ENSMUSG00000048327,11.484542446913133
chr2,130422839,130425838,Vps16,0.05294419307387189,chr2,130422001,130424199,peak_7145,8.442258771868268,.,1360,ENSMUSG00000027411,12.209320049507735
chr2,130666110,130669109,Itpa,-0.24669239006448418,chr2,130663201,130667799,peak_7146,12.856485830126053,.,1689,ENSMUSG00000074797,11.321306290857894
chr2,131185783,131188782,Spef1,-1.508743352959463,chr2,131177201,131213599,peak_7150,148.25122623016483,.,2999,ENSMUSG00000027329,14.688268980836325
chr2,131232563,131235562,Mavs,-0.2895631448136722,chr2,131235201,131237399,peak_7151,4.930188076577626,.,361,ENSMUSG00000037523,13.621219601058812
chr2,131560784,131563783,Adra1d,-0.06751988134061321,chr2,131522601,131780599,peak_7159,1300.962442974357,.,2999,ENSMUSG00000027335,10.436858171293578
chr2,132143609,132146608,Slc23a2,-0.1963402150367989,chr2,132127801,132144599,peak_7165,23.60162712164381,.,990,ENSMUSG00000027340,13.395980157463194
chr2,132845166,132848165,Crls1,-0.37696387369685386,.,-1,-1,.,-1,.,0,ENSMUSG00000027357,11.649159273260315
chr2,144554729,144557728,Sec23b,-0.23043328924265424,chr2,144542001,144555799,peak_7216,8.336176432243546,.,1070,ENSMUSG00000027429,10.283718129272676
chr2,145166254,145169253,Slc24a3,0.30881198751804756,chr2,145154801,145439399,peak_7217,435.91972689641676,.,2999,ENSMUSG00000063873,12.12438483418526
chr2,148671101,148674100,Nxt1,-0.640677866776868,.,-1,-1,.,-1,.,0,ENSMUSG00000036992,13.660626079799764
chr2,150607068,150610067,Apmap,0.17660245117387868,.,-1,-1,.,-1,.,0,ENSMUSG00000033096,10.08322802133659
chr2,150785235,150788234,Pygb,1.1661948205403638,.,-1,-1,.,-1,.,0,ENSMUSG00000033059,14.709257829195316
chr2,150903242,150906241,Abhd12,0.14322601488088493,.,-1,-1,.,-1,.,0,ENSMUSG00000032046,11.422923830235895
chr2,151978720,151981719,Fam110a,-0.3212777557010904,chr2,151953801,151986999,peak_7245,110.64092379877658,.,2999,ENSMUSG00000027459,12.663565574719993
chr2,152685535,152688534,Mcts2,-0.13440098690716398,chr2,152672201,152711799,peak_7250,103.10828988532509,.,2999,ENSMUSG00000042814,10.506655840528527
chr2,153739774,153742773,Mapre1,-0.05880925262879889,.,-1,-1,.,-1,.,0,ENSMUSG00000027479,12.730737184359656
chr2,155072998,155075997,Ahcy,-0.2718689814594432,.,-1,-1,.,-1,.,0,ENSMUSG00000027597,14.439109427895431
chr2,155727976,155730975,Edem2,0.1303727186221043,.,-1,-1,.,-1,.,0,ENSMUSG00000038312,10.026021101842122
chr2,155954958,155957957,Cep250,-0.048239223123235406,chr2,155926601,155958799,peak_7271,57.193862659520164,.,2999,ENSMUSG00000038241,11.955217597167158
chr2,156419409,156422408,Epb41l1,0.08142651754853039,chr2,156413801,156420399,peak_7277,22.85734766232145,.,990,ENSMUSG00000027624,10.813401163836405
chr2,157077755,157080754,Soga1,0.7491013976267809,.,-1,-1,.,-1,.,0,ENSMUSG00000055485,11.074155039506497
chr2,157569775,157572774,Blcap,0.46469251867466593,.,-1,-1,.,-1,.,0,ENSMUSG00000067787,14.73079390097751
chr2,157735901,157738900,Ctnnbl1,-0.02967130086976091,.,-1,-1,.,-1,.,0,ENSMUSG00000027649,12.3731012655203
chr2,165033368,165036367,Ncoa5,0.02116239644798918,.,-1,-1,.,-1,.,0,ENSMUSG00000039804,10.761133302688481
chr2,165991136,165994135,Ncoa3,-0.13774458401623618,chr2,165964401,165997999,peak_7338,121.79078209164217,.,2999,ENSMUSG00000027678,11.721245432986242
chr2,166904540,166907539,Cse1l,-0.527322589766719,.,-1,-1,.,-1,.,0,ENSMUSG00000002718,12.653552868594023
chr2,166994800,166997799,Stau1,0.18665957829459623,.,-1,-1,.,-1,.,0,ENSMUSG00000039536,11.8480003044214
chr2,167013693,167016692,Ddx27,-0.12975874722663944,chr2,167013801,167014999,peak_7350,3.983847177420378,.,1198,ENSMUSG00000017999,14.954364664992408
chr2,167239105,167242104,Ptgis,0.0021545892571561125,chr2,167231401,167268799,peak_7353,164.44282166013852,.,2999,ENSMUSG00000017969,10.932858430452484
chr2,167347684,167350683,B4galt5,0.5743457378978503,chr2,167349601,167406199,peak_7356,100.28021214328295,.,1082,ENSMUSG00000017929,13.66063178655988
chr2,167491145,167494144,Rnf114,0.47479934325794754,.,-1,-1,.,-1,.,0,ENSMUSG00000006418,11.94273127369822
chr2,173275034,173278033,Pmepa1,0.02356848453693818,chr2,173231201,173283199,peak_7397,138.20421753704963,.,2999,ENSMUSG00000038400,14.301282821022335
chr2,173658260,173661259,Rab22a,0.08278529382505326,chr2,173660801,173662799,peak_7402,3.8789721904509764,.,458,ENSMUSG00000027519,11.605324683425057
chr2,174414304,174417303,Nelfcd,0.07921205363888428,.,-1,-1,.,-1,.,0,ENSMUSG00000016253,13.008876466396444
chr2,180117806,180120805,Osbpl2,0.06256538461218476,chr2,180112001,180118599,peak_7417,36.496518790113065,.,793,ENSMUSG00000039050,14.652613103247852
chr2,180708617,180711616,Gid8,0.24440141201537832,.,-1,-1,.,-1,.,0,ENSMUSG00000027573,14.02986739483794
chr2,180965725,180968724,Arfgap1,0.48880010206269764,.,-1,-1,.,-1,.,0,ENSMUSG00000027575,13.880818998638906
chr2,181495642,181498641,Tpd52l2,0.3402433448376014,.,-1,-1,.,-1,.,0,ENSMUSG00000000827,14.268857809966104
chrX,7839864,7842863,Otud5,-0.3359389654016811,.,-1,-1,.,-1,.,0,ENSMUSG00000031154,11.271888708987923
chrX,7897770,7900769,Pqbp1,-0.6603516419612215,.,-1,-1,.,-1,.,0,ENSMUSG00000031157,14.24670005950784
chrX,7897857,7900856,Timm17b,-0.35628153867370543,.,-1,-1,.,-1,.,0,ENSMUSG00000031158,11.367524367253138
chrX,8192013,8195012,Ebp,-1.513064354817426,chrX,8193401,8194199,peak_12302,2.1537397318946723,.,798,ENSMUSG00000031168,13.630397129198853
chrX,20616003,20619002,Rbm10,-0.6426423843629911,.,-1,-1,.,-1,.,0,ENSMUSG00000031060,13.854104750204002
chrX,37803342,37806341,Rhox5,-1.8278262052830891,.,-1,-1,.,-1,.,0,ENSMUSG00000095180,13.316162936374804
chrX,48461633,48464632,Elf4,-0.8136404419317487,chrX,48455001,48465799,peak_12346,31.77515289462269,.,2999,ENSMUSG00000031103,12.420431805645539
chrX,56211382,56214381,Gm773,-0.32397546473219,.,-1,-1,.,-1,.,0,ENSMUSG00000073177,10.420826684619167
chrX,71491350,71494349,Cd99l2,-0.48984230463682543,.,-1,-1,.,-1,.,0,ENSMUSG00000035776,10.626594189580947
chrX,73457545,73460544,Haus7,-0.39785069012912755,chrX,73459801,73488799,peak_12379,102.80073427707327,.,743,ENSMUSG00000031371,10.526647444872475
chrX,101638560,101641559,Ogt,-0.5625390798883978,chrX,101636801,101638799,peak_12407,4.59493859325342,.,239,ENSMUSG00000034160,14.158216640791185
chrX,103979785,103982784,Rlim,-0.6062050407049491,chrX,103981601,103990399,peak_12413,25.767711238800285,.,1183,ENSMUSG00000056537,12.782255065814272
chrX,106010407,106013406,Magt1,-0.6222570103913316,.,-1,-1,.,-1,.,0,ENSMUSG00000031232,10.801673985674737
chrX,141473885,141476884,Col4a5,0.3095864893571277,.,-1,-1,.,-1,.,0,ENSMUSG00000031274,10.067672724335898
chrX,142679906,142682905,Tmem164,0.5403658782154296,chrX,142662801,142680399,peak_12444,16.822714831050217,.,493,ENSMUSG00000047045,11.183584731103334
chrX,145503682,145506681,Amot,0.26545114672655057,.,-1,-1,.,-1,.,0,ENSMUSG00000041688,11.2741395884913
chrX,150812846,150815845,Maged2,1.0046579209125743,.,-1,-1,.,-1,.,0,ENSMUSG00000025268,12.159175022606455
chrX,152014928,152017927,Smc1a,-0.7765617965762911,.,-1,-1,.,-1,.,0,ENSMUSG00000041133,13.24179156580686
chrX,162886948,162889947,Syap1,-0.8326004349172335,.,-1,-1,.,-1,.,0,ENSMUSG00000031357,13.823091093024704
chr3,8922419,8925418,Mrps28,-0.5488238667838142,chr3,8924201,8925199,peak_7434,2.7957926683727217,.,998,ENSMUSG00000040269,12.461284020009163
chr3,20153818,20156817,Gyg,0.055464417364558684,chr3,20154201,20155599,peak_7472,1.1129954048699968,.,1398,ENSMUSG00000019528,10.101569773081202
chr3,30791375,30794374,Sec62,0.4503818523964899,.,-1,-1,.,-1,.,0,ENSMUSG00000027706,11.895765368084996
chr3,30994247,30997246,Prkci,0.32478213436976255,chr3,30979201,31026599,peak_7506,132.68851505902478,.,2999,ENSMUSG00000037643,11.374018313798054
chr3,41554231,41557230,Jade1,-0.46301827085810504,chr3,41544601,41606799,peak_7553,93.19191713248605,.,2999,ENSMUSG00000025764,13.076836841184567
chr3,51407489,51410488,Ndufc1,0.14060886435822412,.,-1,-1,.,-1,.,0,ENSMUSG00000037152,10.526427622266745
chr3,53040028,53043027,Lhfp,-0.16361387853710666,chr3,53033801,53074799,peak_7592,168.06358993916996,.,2999,ENSMUSG00000048332,14.422996791508242
chr3,55110608,55113607,Spg20,0.497818379099509,chr3,55080401,55151599,peak_7604,275.6373877022146,.,2999,ENSMUSG00000036580,10.474829404601225
chr3,60471330,60474329,Mbnl1,-0.9366658141149901,chr3,60473001,60474599,peak_7643,4.053334790059666,.,1328,ENSMUSG00000027763,10.261207997049372
chr3,65956750,65959749,Ccnl1,-0.11008770889541959,chr3,65959001,65974399,peak_7671,16.186733129784752,.,748,ENSMUSG00000027829,11.01750880416772
chr3,69003238,69006237,Smc4,-0.8010150781508948,.,-1,-1,.,-1,.,0,ENSMUSG00000034349,12.24743157281428
chr3,79883033,79886032,Gask1b,-1.923484490711761,chr3,79840401,79892599,peak_7708,182.516903464826,.,2999,NA,NA
chr3,83054022,83057021,Plrg1,-0.28808892277585657,.,-1,-1,.,-1,.,0,ENSMUSG00000027998,11.5466896345111
chr3,87918006,87921005,Mrpl24,0.012993678816741372,.,-1,-1,.,-1,.,0,ENSMUSG00000019710,14.134696437405385
chr3,88334760,88337759,Smg5,-0.23924796490486916,chr3,88325801,88335599,peak_7760,5.122388451164348,.,839,ENSMUSG00000001415,12.530101822676805
